theme,url,img,lines,author
RESILIENCE,/inspirational-quotes/8313-like-tiny-seeds-with-potent-power-to-push,https://assets.passiton.com/quotes/quote_artwork/8313/medium/20230124_tuesday_quote.jpg,"Like tiny seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient.",<Author:0x00007fc8ab1bd4d0>
RESILIENCE,/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an,https://assets.passiton.com/quotes/quote_artwork/6940/medium/20230123_monday_quote.jpg,Hardships often prepare ordinary people for an extraordinary destiny.,<Author:0x00007fc8ab236010>
EXPLORING,/inspirational-quotes/6600-not-all-those-who-wander-are-lost,https://assets.passiton.com/quotes/quote_artwork/6600/medium/20230120_friday_quote.jpg,Not all those who wander are lost.,<Author:0x00007fc8ab20b900>
EXPLORING,/inspirational-quotes/8370-life-can-only-be-understood-backwards-but-it,https://assets.passiton.com/quotes/quote_artwork/8370/medium/20230119_thursday_quote.jpg,Life can only be understood backwards but it must be lived forwards.,<Author:0x00007fc8ab1f3878>
EXPLORING,/inspirational-quotes/8369-you-have-to-create-your-life-you-have-to-carve,https://assets.passiton.com/quotes/quote_artwork/8369/medium/20230118_wednesday_quote.jpg,"You have to create your life. You have to carve it, like a sculpture.",<Author:0x00007fc8ab2cbdb8>
EXPLORING,/inspirational-quotes/7473-the-purpose-of-life-is-to-live-it-to-taste,https://assets.passiton.com/quotes/quote_artwork/7473/medium/20230117_tuesday_quote.jpg,"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.",<Author:0x00007fc8ab2b1b48>
EXPLORING,/inspirational-quotes/8293-if-you-cant-fly-then-run-if-you-cant-run-then,https://assets.passiton.com/quotes/quote_artwork/8293/medium/20230116_monday_quote.jpg,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",<Author:0x00007fc8ab326128>
KINDNESS,/inspirational-quotes/6382-ask-yourself-have-you-been-kind-today-make,https://assets.passiton.com/quotes/quote_artwork/6382/medium/20230113_friday_quote.jpg,Ask yourself: Have you been kind today? Make kindness your modus operandi and change your world. ,<Author:0x00007fc8ab2fd980>
KINDNESS,/inspirational-quotes/6345-one-kind-word-can-warm-three-winter-months,https://assets.passiton.com/quotes/quote_artwork/6345/medium/20230112_thursday_quote.jpg,One kind word can warm three winter months.,<Author:0x00007fc8ab364590>
KINDNESS,/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and,https://assets.passiton.com/quotes/quote_artwork/8368/medium/20230111_wednesday_quote.jpg,"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on.",<Author:0x00007fc8ab34df70>
